order_id_new;order_try_id_new;calc_created;metered_price;upfront_price;distance;duration;gps_confidence;entered_by;b_state;dest_change_number;prediction_price_type;predicted_distance;predicted_duration;change_reason_pricing;device_token;rider_app_version;order_state;order_try_state;driver_app_version;driver_device_uid_new;device_name;eu_indicator;overpaid_ride_ticket;fraud_score;cnt;time;hour;month;over_distance;over_duration;over_price
2076;2076;2020-02-21 22:15:56;4.97;3.6;5710;738;1;client;finished;1;upfront;3809.0;503.0;;;CI.4.19;finished;finished;DI.3.33;73;iPhone8,1;1;0;;1.0;22:15:56;22;2;1901.0;235.0;-1.3699999999999997
2056;2056;2020-02-21 18:11:08;7.37;4.0;7544;1403;0;client;finished;3;upfront;4385.0;574.0;;;CI.4.19;finished;finished;DA.4.37;1133;HUAWEI POT-LX1;1;0;-808.0;1.0;18:11:08;18;2;3159.0;829.0;-3.37
2762;2762;2020-02-28 19:06:12;4.55;5.4;4453;783;1;client;finished;1;upfront;6261.0;808.0;;;CA.5.44;finished;finished;DA.4.37;1612;HUAWEI LYA-L29;1;0;;1.0;19:06:12;19;2;-1808.0;-25.0;0.8500000000000005
2990;2990;2020-03-01 19:10:47;6773.46;;1179;2297;1;client;finished;1;prediction;5530.0;986.0;;;CI.4.17;finished;finished;DA.4.37;1375;INFINIX MOBILITY LIMITED Infinix X5515;0;0;;1.0;19:10:47;19;3;-4351.0;1311.0;
3521;3521;2020-03-07 19:44:45;4.33;4.6;4552;677;1;client;finished;1;upfront;4400.0;795.0;;;CA.5.43;finished;finished;DA.4.42;1511;Samsung SM-G975F;1;0;;1.0;19:44:45;19;3;152.0;-118.0;0.2699999999999996
3777;3777;2020-03-10 12:47:33;3.31;3.7;4771;573;1;client;finished;1;upfront;5637.0;613.0;;;CI.4.23;finished;finished;DA.4.42;2075;Xiaomi Redmi Note 7;1;0;-40.0;1.0;12:47:33;12;3;-866.0;-40.0;0.3900000000000001
3546;3546;2020-03-07 23:28:20;14.91;11.6;17902;1881;1;driver;finished;3;upfront;14143.0;1194.0;;;CI.4.19;finished;finished;DA.4.42;631;HUAWEI ATU-L21;1;0;-274.0;1.0;23:28:20;23;3;3759.0;687.0;-3.3100000000000005
4027;4027;2020-03-12 19:54:17;17620.26;;12988;2416;1;client;finished;1;prediction;12157.0;1976.0;;;CA.5.46;finished;finished;DA.4.42;1002;TECNO MOBILE LIMITED TECNO KC8;0;0;;2.0;19:54:17;19;3;831.0;440.0;
4115;4115;2020-03-13 14:55:32;4.36;3.4;3901;799;1;client;finished;1;upfront;2777.0;604.0;;;CI.4.19;finished;finished;DA.4.42;372;Samsung SM-A505FN;1;0;-1258.0;1.0;14:55:32;14;3;1124.0;195.0;-0.9600000000000004
556;556;2020-02-07 18:30:00;6950.59;7000.0;2724;1293;1;client;finished;1;upfront;3634.0;804.0;;;CI.4.14;finished;finished;DA.4.37;668;TECNO K7;0;0;;1.0;18:30:00;18;2;-910.0;489.0;49.409999999999854
3199;3199;2020-03-04 17:24:08;18352.5;;10747;3915;0;client;finished;1;prediction;10627.0;1864.0;;;CA.5.27;finished;finished;DA.4.34;1125;TECNO MOBILE LIMITED TECNO KA7;0;0;;1.0;17:24:08;17;3;120.0;2051.0;
4001;4001;2020-03-12 15:44:03;9.7;7.8;8858;2116;1;client;finished;1;upfront;7701.0;1524.0;;;CI.4.19;finished;finished;DA.4.42;522;Samsung SM-A520F;1;0;;1.0;15:44:03;15;3;1157.0;592.0;-1.8999999999999995
3696;3696;2020-03-09 13:46:46;6000.0;;0;5;1;client;finished;1;prediction;5535.0;961.0;;;CA.5.46;finished;finished;DA.4.42;1194;INFINIX MOBILITY LIMITED Infinix X650;0;0;;1.0;13:46:46;13;3;-5535.0;-956.0;
4022;4022;2020-03-12 18:59:49;5.75;3.8;6932;847;1;client;finished;1;upfront;3140.0;684.0;;;CA.5.30;finished;finished;DA.4.42;1717;Samsung SM-A600FN;1;0;-439.0;1.0;18:59:49;18;3;3792.0;163.0;-1.9500000000000002
2141;2141;2020-02-22 12:04:30;20486.22;;11878;4524;0;client;finished;1;prediction;10108.0;1673.0;;;CA.5.44;finished;finished;DA.4.39;1820;Infinix X572;0;0;;1.0;12:04:30;12;2;1770.0;2851.0;
251;251;2020-02-04 11:47:53;6000.0;16000.0;743;345;1;client;finished;1;upfront;12008.0;1910.0;;;CA.4.66;finished;finished;DA.4.31;1438;TECNO L8 Lite;0;0;;2.0;11:47:53;11;2;-11265.0;-1565.0;10000.0
463;463;2020-02-06 20:06:40;5765.0;5000.0;9015;1206;1;client;finished;1;upfront;7875.0;1067.0;;;CA.5.42;finished;finished;DA.4.35;1517;Itel S12;0;0;;1.0;20:06:40;20;2;1140.0;139.0;-765.0
1153;1153;2020-02-13 12:47:07;7.92;;7241;865;1;driver;finished;2;upfront_destination_changed;7282.0;817.0;driver_destination_changed;;CI.4.17;finished;finished;DA.4.39;1891;Samsung SM-A405FN;1;0;-10.0;1.0;12:47:07;12;2;-41.0;48.0;
1557;1557;2020-02-16 16:30:15;2000.0;7000.0;400;134;1;client;finished;1;upfront;10793.0;1462.0;;;CA.4.89;finished;finished;DA.4.35;2084;Itel W5504;0;0;;1.0;16:30:15;16;2;-10393.0;-1328.0;5000.0
1867;1867;2020-02-20 07:26:49;55192.74;;38311;1819;0;client;finished;1;prediction;7955.0;1305.0;;;CA.5.44;finished;finished;DA.4.14;335;HMD Global Nokia 1;0;1;;1.0;07:26:49;7;2;30356.0;514.0;
1608;1609;2020-02-17 08:45:21;4087.5;4500.0;4752;1755;1;client;finished;2;upfront;6791.0;1179.0;client_destination_changed;;CA.5.44;finished;finished;DA.4.37;2076;TECNO WX3;0;0;;2.0;08:45:21;8;2;-2039.0;576.0;412.5
88;88;2020-02-02 16:14:43;6000.0;11500.0;28;159;1;client;finished;1;upfront;8781.0;1271.0;;;CA.5.40;finished;finished;DA.4.37;1008;TECNO-J8;0;0;;2.0;16:14:43;16;2;-8753.0;-1112.0;5500.0
2620;2620;2020-02-27 12:40:47;4.56;4.0;6851;874;0;client;finished;1;upfront;6206.0;700.0;;;CA.5.44;finished;finished;DI.3.36;156;iPhone6,2;1;0;-50.0;1.0;12:40:47;12;2;645.0;174.0;-0.5599999999999996
2563;2563;2020-02-26 16:14:37;2.5;6.8;104;73;1;client;finished;1;upfront;6780.0;1296.0;;;CA.5.45;finished;finished;DI.3.36;33;iPhone9,3;1;0;;1.0;16:14:37;16;2;-6676.0;-1223.0;4.3
852;852;2020-02-10 06:42:27;19741.98;16500.0;12422;3853;1;client;finished;1;upfront;12443.0;1998.0;;;CA.5.08;finished;finished;DA.4.39;1896;Samsung SM-N9100;0;0;;2.0;06:42:27;6;2;-21.0;1855.0;-3241.9799999999996
3614;3614;2020-03-08 14:40:07;5.6;5.9;6512;857;1;client;finished;1;upfront;6734.0;955.0;;;CI.4.19;finished;finished;DA.4.42;1077;Samsung SM-G960F;1;0;5.0;1.0;14:40:07;14;3;-222.0;-98.0;0.3000000000000007
3603;3603;2020-03-08 12:57:34;12562.02;;8695;1763;1;client;finished;1;prediction;8254.0;1276.0;;;CA.5.01;finished;finished;DA.4.37;1634;TECNO CX Air;0;0;;1.0;12:57:34;12;3;441.0;487.0;
3783;3783;2020-03-10 14:20:35;9690.24;;5683;1679;0;client;finished;1;prediction;5683.0;1020.0;;;CA.5.46;finished;finished;DA.4.42;906;Samsung SM-J415F;0;1;;1.0;14:20:35;14;3;0.0;659.0;
3525;3525;2020-03-07 20:26:25;11005.5;;8051;1233;1;client;finished;1;prediction;10147.0;1339.0;;;CA.5.32;finished;finished;DA.4.39;905;Samsung SM-J250F;0;0;;1.0;20:26:25;20;3;-2096.0;-106.0;
4072;4072;2020-03-13 10:19:35;16566.48;;10447;3088;0;client;finished;1;prediction;10447.0;2075.0;;;CA.5.47;finished;finished;DA.4.42;847;INFINIX MOBILITY LIMITED Infinix X650;0;0;;1.0;10:19:35;10;3;0.0;1013.0;
2415;2415;2020-02-24 18:27:50;6000.0;;115;457;1;client;finished;1;prediction;3870.0;788.0;;;CA.5.44;finished;finished;DA.4.39;571;Samsung SM-G900H;0;0;;1.0;18:27:50;18;2;-3755.0;-331.0;
217;217;2020-02-04 08:07:10;;;6249;2477;1;driver;finished;1;;;;;;;finished;finished;DA.4.37;977;Xiaomi Redmi 8;1;0;;1.0;08:07:10;8;2;;;
40;40;2020-02-02 08:20:51;2000.0;6000.0;809;135;1;client;finished;1;upfront;8776.0;1556.0;;;CA.5.42;finished;finished;DA.4.35;873;Itel S12;0;0;;1.0;08:20:51;8;2;-7967.0;-1421.0;4000.0
128;128;2020-02-03 06:22:08;17.03;16.2;24295;2463;1;client;finished;1;upfront;22971.0;2364.0;;;CI.4.17;finished;finished;DA.4.37;1540;HUAWEI FIG-LX1;1;0;-892.0;1.0;06:22:08;6;2;1324.0;99.0;-0.8300000000000018
536;537;2020-02-07 15:12:43;11323.02;8500.0;8573;1168;0;client;finished;1;upfront;5398.0;1049.0;;;CA.5.27;finished;finished;DA.4.10;253;TECNO MOBILE LIMITED TECNO B1;0;1;;1.0;15:12:43;15;2;3175.0;119.0;-2823.0200000000004
541;541;2020-02-07 15:46:16;7.78;10.5;9689;1205;1;client;finished;1;upfront;10123.0;1405.0;;;CI.4.17;finished;finished;DA.4.39;1428;HUAWEI ATU-L21;1;0;-532.0;1.0;15:46:16;15;2;-434.0;-200.0;2.7199999999999998
682;682;2020-02-08 15:39:58;6000.0;6000.0;1748;514;1;client;finished;1;upfront;2545.0;467.0;;;CI.4.14;finished;finished;DA.4.39;1678;Samsung SM-N915T;0;0;;1.0;15:39:58;15;2;-797.0;47.0;0.0
559;559;2020-02-07 18:27:18;4.45;4.8;4665;708;1;client;finished;1;upfront;4666.0;829.0;;;CI.4.17;finished;finished;DA.4.37;1663;HUAWEI BGO-DL09;1;0;-1178.0;1.0;18:27:18;18;2;-1.0;-121.0;0.34999999999999964
1257;1257;2020-02-14 14:07:30;7.63;6.2;9435;1183;1;client;finished;1;upfront;7691.0;920.0;;;CI.4.17;finished;finished;DA.4.37;518;Samsung SM-G935F;1;0;-208.0;1.0;14:07:30;14;2;1744.0;263.0;-1.4299999999999997
1832;1832;2020-02-19 17:40:49;4.16;3.2;5271;489;1;client;finished;1;upfront;3214.0;459.0;;;CA.5.43;finished;finished;DA.4.39;19;Samsung SM-A730F;1;0;-372.0;1.0;17:40:49;17;2;2057.0;30.0;-0.96
1751;1751;2020-02-18 20:28:26;37893.04;;26977;2117;0;client;finished;1;prediction;10020.0;1465.0;;;CA.5.44;finished;finished;DA.4.34;1689;Itel itel P12;0;1;;1.0;20:28:26;20;2;16957.0;652.0;
948;948;2020-02-11 06:19:22;5.21;5.5;6423;718;1;client;finished;1;upfront;6969.0;757.0;;;CI.4.18;finished;finished;DA.4.39;731;HUAWEI AMN-LX9;1;0;;1.0;06:19:22;6;2;-546.0;-39.0;0.29000000000000004
2200;2200;2020-02-22 19:09:16;10.82;11.8;14027;1694;1;client;finished;1;upfront;14921.0;1934.0;;;CI.4.19;finished;finished;DA.4.39;736;HUAWEI KOB-L09;1;0;-386.0;1.0;19:09:16;19;2;-894.0;-240.0;0.9800000000000004
2431;2431;2020-02-25 04:17:47;20046.0;;13968;3258;1;client;finished;1;prediction;8437.0;1106.0;;;CA.5.44;finished;finished;DI.3.36;196;iPhone8,1;0;0;;2.0;04:17:47;4;2;5531.0;2152.0;
2632;2632;2020-02-27 15:38:27;12.6;10.2;19864;1430;1;client;finished;1;upfront;15611.0;1185.0;;;CA.5.44;finished;finished;DA.4.39;1417;HMD Global TA-1032;1;0;-46.0;1.0;15:38:27;15;2;4253.0;245.0;-2.4000000000000004
3946;3946;2020-03-12 00:40:37;8.26;8.3;15860;1175;1;client;finished;1;upfront;15667.0;1222.0;;;CI.4.19;finished;finished;DI.3.34;192;iPhone8,2;1;0;-231.0;1.0;00:40:37;0;3;193.0;-47.0;0.040000000000000924
3193;3193;2020-03-04 14:31:39;2.22;3.0;2446;413;1;client;finished;1;upfront;3223.0;696.0;;;CI.4.19;finished;finished;DA.4.34;1748;BullittGroupLimited S31;1;0;-5540.0;1.0;14:31:39;14;3;-777.0;-283.0;0.7799999999999998
3697;3697;2020-03-09 14:09:49;6000.0;;1374;1578;0;client;finished;1;prediction;1374.0;276.0;;;CA.5.27;finished;finished;DA.4.42;1162;TECNO MOBILE LIMITED TECNO KC6;0;0;;1.0;14:09:49;14;3;0.0;1302.0;
3729;3729;2020-03-09 18:56:58;2.75;2.8;2338;205;1;client;finished;1;upfront;2359.0;308.0;;;CI.4.01;finished;finished;DI.3.37;162;iPhone8,1;1;0;-144.0;1.0;18:56:58;18;3;-21.0;-103.0;0.04999999999999982
670;670;2020-02-08 13:51:06;3.63;4.0;3837;512;1;client;finished;1;upfront;4282.0;577.0;;;CI.4.17;finished;finished;DA.4.39;1585;Samsung SM-A530F;1;0;-514.0;2.0;13:51:06;13;2;-445.0;-65.0;0.3700000000000001
65;65;2020-02-02 14:09:24;7652.52;6500.0;5058;872;1;client;finished;1;upfront;3958.0;703.0;;;CA.5.42;finished;finished;DA.4.37;1851;Infinix X603;0;0;;2.0;14:09:24;14;2;1100.0;169.0;-1152.5200000000004
600;600;2020-02-07 23:49:48;7.13;7.6;8502;1141;1;client;finished;1;upfront;9907.0;1108.0;;;CI.4.17;finished;finished;DA.4.39;810;Samsung SM-G950F;1;0;;1.0;23:49:48;23;2;-1405.0;33.0;0.46999999999999975
839;839;2020-02-09 22:23:51;16518.54;15000.0;13744;1447;1;client;finished;1;upfront;12112.0;1506.0;;;CA.5.43;finished;finished;DA.4.34;1991;HUAWEI DRA-LX2;0;0;;2.0;22:23:51;22;2;1632.0;-59.0;-1518.5400000000009
980;980;2020-02-11 15:09:39;6000.0;26500.0;0;0;0;client;finished;1;upfront;18253.0;2852.0;;;CA.5.43;finished;finished;DA.4.31;774;TECNO MOBILE LIMITED TECNO B1p;0;0;;1.0;15:09:39;15;2;-18253.0;-2852.0;20500.0
558;558;2020-02-07 18:30:29;6111.01;6500.0;3197;641;1;client;finished;1;upfront;3301.0;666.0;;;CA.5.42;finished;finished;DA.4.30;1083;TECNO MOBILE LIMITED TECNO LA7;0;0;;1.0;18:30:29;18;2;-104.0;-25.0;388.9899999999998
1196;1196;2020-02-13 20:27:59;5.52;6.3;9531;881;1;client;finished;1;upfront;10800.0;1069.0;;;CA.5.44;finished;finished;DA.4.39;1238;Samsung SM-G970F;1;0;-19.0;1.0;20:27:59;20;2;-1269.0;-188.0;0.7800000000000002
551;551;2020-02-07 17:16:27;7.88;8.0;10293;611;1;client;finished;1;upfront;10473.0;626.0;;;CI.4.17;finished;finished;DI.3.33;129;iPhone9,4;1;0;-21.0;1.0;17:16:27;17;2;-180.0;-15.0;0.1200000000000001
1456;1456;2020-02-15 15:21:25;6.98;6.8;8402;1098;1;client;finished;1;upfront;8282.0;1022.0;;;CA.5.44;finished;finished;DA.4.37;1936;Asus ASUS_A002;1;0;-16.0;1.0;15:21:25;15;2;120.0;76.0;-0.1800000000000006
1716;1715;2020-02-18 13:07:14;2.54;3.3;2193;352;1;client;finished;1;upfront;3586.0;406.0;;;CA.5.44;finished;finished;DA.4.39;427;Samsung SM-G532F;1;0;-246.0;1.0;13:07:14;13;2;-1393.0;-54.0;0.7599999999999998
974;974;2020-02-11 11:46:43;4.16;4.2;3882;721;1;client;finished;1;upfront;3843.0;740.0;;;CI.4.17;finished;finished;DI.3.34;36;iPhone8,1;1;0;;1.0;11:46:43;11;2;39.0;-19.0;0.040000000000000036
2351;2351;2020-02-24 01:14:35;6.51;6.6;8841;832;1;client;finished;1;upfront;9030.0;851.0;;;CA.5.27;finished;finished;DA.4.41;1430;Samsung GT-I9505;1;0;-1820.0;2.0;01:14:35;1;2;-189.0;-19.0;0.08999999999999986
2463;2463;2020-02-25 12:48:24;6000.0;;0;2;1;client;finished;1;prediction;5834.0;1184.0;;;CI.4.19;finished;finished;DA.4.41;1816;INFINIX MOBILITY LIMITED Infinix X624B;0;0;;1.0;12:48:24;12;2;-5834.0;-1182.0;
2009;2009;2020-02-21 12:55:19;5.23;3.2;4525;1043;1;client;finished;1;upfront;2861.0;496.0;;;CA.5.44;finished;finished;DA.4.39;2119;Samsung SM-J510FN;1;0;-152.0;2.0;12:55:19;12;2;1664.0;547.0;-2.0300000000000002
2327;2327;2020-02-23 17:35:33;15233.22;;10700;2238;0;client;finished;1;prediction;10700.0;1601.0;;;CI.4.14;finished;finished;DA.4.39;618;TECNO K7;0;0;;1.0;17:35:33;17;2;0.0;637.0;
195;195;2020-02-03 20:06:19;7800.0;8000.0;566;401;1;client;finished;1;upfront;577.0;113.0;;;CA.4.75;finished;finished;DA.4.37;950;Samsung SM-G925I;0;0;;2.0;20:06:19;20;2;-11.0;288.0;200.0
44;44;2020-02-02 10:45:04;30617.5;23000.0;19448;4635;1;client;finished;1;upfront;17267.0;2343.0;;;CA.5.42;finished;finished;DA.4.30;1476;Samsung SM-G935U;0;0;;2.0;10:45:04;10;2;2181.0;2292.0;-7617.5
172;172;2020-02-03 16:01:30;4.27;3.2;3498;675;1;client;finished;1;upfront;2115.0;496.0;;;CI.4.17;finished;finished;DA.4.37;1610;Samsung SM-N975F;1;0;-22.0;1.0;16:01:30;16;2;1383.0;179.0;-1.0699999999999994
105;105;2020-02-02 19:59:11;4.52;4.5;7145;786;1;client;finished;1;upfront;6984.0;826.0;;;CA.5.42;finished;finished;DA.4.37;1418;HUAWEI ATU-L21;1;0;;1.0;19:59:11;19;2;161.0;-40.0;-0.019999999999999574
315;315;2020-02-05 06:44:01;4.01;4.5;3396;744;1;client;finished;1;upfront;4615.0;715.0;;;CI.4.17;finished;finished;DA.4.34;1123;Samsung SM-J730F;1;0;1.0;1.0;06:44:01;6;2;-1219.0;29.0;0.4900000000000002
816;816;2020-02-09 17:38:24;10485.0;10500.0;7271;1332;1;client;finished;1;upfront;7260.0;1254.0;;;CI.4.17;finished;finished;DA.4.39;1971;INFINIX MOBILITY LIMITED Infinix X5516B;0;0;;1.0;17:38:24;17;2;11.0;78.0;15.0
591;591;2020-02-07 22:09:56;6.52;6.5;8656;866;1;client;finished;1;upfront;8506.0;866.0;;;CA.5.43;finished;finished;DA.4.39;1952;Xiaomi Redmi Note 7;1;0;-1200.0;2.0;22:09:56;22;2;150.0;0.0;-0.019999999999999574
991;991;2020-02-11 16:59:41;10219.98;6000.0;5804;1909;1;client;finished;1;upfront;3376.0;633.0;;;CA.5.42;finished;finished;DA.4.39;639;INFINIX MOBILITY LIMITED Infinix X608;0;0;;2.0;16:59:41;16;2;2428.0;1276.0;-4219.98
1047;1047;2020-02-12 07:13:47;3.13;3.7;2698;506;1;client;finished;1;upfront;3262.0;630.0;;;CA.5.43;finished;finished;DA.4.39;555;Samsung SM-J415FN;1;0;-2599.0;1.0;07:13:47;7;2;-564.0;-124.0;0.5700000000000003
1069;1069;2020-02-12 12:06:33;9687.83;8500.0;6000;1269;1;client;finished;1;upfront;5425.0;837.0;;;CA.5.30;finished;finished;DA.4.39;1145;TECNO MOBILE LIMITED TECNO F3;0;0;;1.0;12:06:33;12;2;575.0;432.0;-1187.83
1151;1151;2020-02-13 12:24:07;4.77;4.7;3998;950;1;client;finished;1;upfront;4613.0;836.0;;;CA.5.43;finished;finished;DA.4.39;1425;Samsung SM-N960F;1;0;32.0;1.0;12:24:07;12;2;-615.0;114.0;-0.0699999999999994
1530;1530;2020-02-16 06:22:11;6.25;4.9;8464;791;1;client;finished;1;upfront;5127.0;805.0;;;CI.4.17;finished;finished;DA.4.39;1173;Samsung SM-J330F;1;0;-78.0;2.0;06:22:11;6;2;3337.0;-14.0;-1.3499999999999996
1262;1262;2020-02-14 18:40:08;59316.78;19500.0;24055;16266;0;client;finished;1;upfront;14707.0;2605.0;;;CA.4.99;finished;finished;DA.4.39;1962;Samsung SM-G570F;0;0;;2.0;18:40:08;18;2;9348.0;13661.0;-39816.78
